url,page_name
https://www.telus.com/en/nu/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - NU
https://www.telus.com/en/on/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - ON
https://www.telus.com/en/pe/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - PE
https://www.telus.com/en/qc/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - QC
https://www.telus.com/en/sk/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - SK
https://www.telus.com/en/yt/business/small?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Homepage cart abandonment - YT
https://www.telus.com/en/ab/business/small/deals-and-offers,Offers default - AB
https://www.telus.com/en/bc/business/small/deals-and-offers,Offers default - BC
https://www.telus.com/en/mb/business/small/deals-and-offers,Offers default - MB
https://www.telus.com/en/nb/business/small/deals-and-offers,Offers default - NB
https://www.telus.com/en/nl/business/small/deals-and-offers,Offers default - NL
https://www.telus.com/en/ns/business/small/deals-and-offers,Offers default - NS
https://www.telus.com/en/nt/business/small/deals-and-offers,Offers default - NT
https://www.telus.com/en/nu/business/small/deals-and-offers,Offers default - NU
https://www.telus.com/en/on/business/small/deals-and-offers,Offers default - ON
https://www.telus.com/en/pe/business/small/deals-and-offers,Offers default - PE
https://www.telus.com/en/qc/business/small/deals-and-offers,Offers default - QC
https://www.telus.com/en/sk/business/small/deals-and-offers,Offers default - SK
https://www.telus.com/en/yt/business/small/deals-and-offers,Offers default - YT
